t,before_loss,before_acc,after_loss,after_acc
0.0,0.09023650805155436,0.9666666666666667,0.09023650805155436,0.9666666666666667
0.025,0.09024093416002062,0.9622222222222222,0.09020011954837376,0.9666666666666667
0.05,0.09073334376017253,0.96,0.09032729148864746,0.9666666666666667
0.07500000000000001,0.09168242931365966,0.96,0.09058733887142605,0.9644444444444444
0.1,0.09314987765418159,0.96,0.09093842930263943,0.9688888888888889
0.125,0.09513752142588297,0.9622222222222222,0.09136802832285564,0.9688888888888889
0.15000000000000002,0.09759438779619005,0.9622222222222222,0.091899094581604,0.9688888888888889
0.17500000000000002,0.1005917771657308,0.9622222222222222,0.09246776951683892,0.9688888888888889
0.2,0.10408248371548123,0.96,0.09304794523451064,0.9688888888888889
0.225,0.10808363808525934,0.9577777777777777,0.09364248699612088,0.9688888888888889
0.25,0.11266052352057562,0.9577777777777777,0.09423365010155572,0.9688888888888889
0.275,0.11786937183803982,0.9577777777777777,0.09479133129119872,0.9688888888888889
0.30000000000000004,0.12330545955234104,0.9555555555555556,0.09524915589226617,0.9711111111111111
0.325,0.12887889756096735,0.9533333333333334,0.09559548325008817,0.9711111111111111
0.35000000000000003,0.13445135328504773,0.9488888888888889,0.0958597903781467,0.9711111111111111
0.375,0.13978807449340822,0.9488888888888889,0.09607624106936985,0.9711111111111111
0.4,0.1445246336195204,0.9488888888888889,0.09624727249145508,0.9711111111111111
0.42500000000000004,0.14858068466186525,0.9488888888888889,0.09640550242529974,0.9711111111111111
0.45,0.15169411235385472,0.9488888888888889,0.0964641703499688,0.9711111111111111
0.47500000000000003,0.15364878124660916,0.9444444444444444,0.09637681696150038,0.9711111111111111
0.5,0.1540560139550103,0.9444444444444444,0.09617450767093234,0.9711111111111111
0.525,0.15278598679436578,0.9466666666666667,0.09587064901987712,0.9711111111111111
0.55,0.1500248654683431,0.9488888888888889,0.09543021149105496,0.9711111111111111
0.5750000000000001,0.14581931855943467,0.9511111111111111,0.09473318894704183,0.9711111111111111
0.6000000000000001,0.14044210645887586,0.9533333333333334,0.09389438364240858,0.9711111111111111
0.625,0.13420430925157334,0.9577777777777777,0.09298062642415364,0.9711111111111111
0.65,0.12766234185960557,0.9577777777777777,0.09202876620822482,0.9711111111111111
0.675,0.12093026479085286,0.9577777777777777,0.09100331783294678,0.9711111111111111
0.7000000000000001,0.11429820272657606,0.9577777777777777,0.08990231513977051,0.9711111111111111
0.7250000000000001,0.10798869768778484,0.96,0.08868492974175347,0.9733333333333334
0.75,0.1020736281077067,0.9644444444444444,0.08737684620751275,0.9733333333333334
0.775,0.0966771125793457,0.9644444444444444,0.08599745379553901,0.9733333333333334
0.8,0.09180780622694228,0.9666666666666667,0.0846232975853814,0.9733333333333334
0.8250000000000001,0.08766818364461262,0.9688888888888889,0.08328992631700304,0.9711111111111111
0.8500000000000001,0.0842946391635471,0.9666666666666667,0.08202294773525662,0.9688888888888889
0.875,0.08164083374871148,0.9711111111111111,0.08087301042344835,0.9688888888888889
0.9,0.07966788397894965,0.9711111111111111,0.0798550287882487,0.9688888888888889
0.925,0.07821660889519585,0.9733333333333334,0.07895199086931017,0.9688888888888889
0.9500000000000001,0.07726788361867269,0.9733333333333334,0.07814643488989936,0.9711111111111111
0.9750000000000001,0.07678256140814887,0.9755555555555555,0.07745092338985866,0.9755555555555555
1.0,0.0768057632446289,0.9755555555555555,0.0768057664235433,0.9755555555555555
