method,alpha,beta,plane_residual,vehicle_loss,animal_loss,vehicle_acc,animal_acc,avg_loss,worst_loss,avg_acc,worst_acc
base,0.0,0.0,0.0,1.3742486317952474,1.6464804048891422,0.5222222222222223,0.37592592592592594,1.5103645183421948,1.6464804048891422,0.44907407407407407,0.37592592592592594
expert_vehicle,1.0,0.0,0.0,0.807509273952908,6.288435250741464,0.6888888888888889,0.0,3.547972262347186,6.288435250741464,0.34444444444444444,0.0
expert_animal,0.0,1.0,0.0,6.399673800998264,1.242468364150436,0.0,0.5157407407407407,3.82107108257435,6.399673800998264,0.25787037037037036,0.0
linear_average,0.4999999999973975,0.4999999999846372,2.502466109324984e-07,1.2664366404215495,2.1279569625854493,0.5513888888888889,0.2490740740740741,1.6971968015034995,2.1279569625854493,0.4002314814814815,0.2490740740740741
slerp_experts,0.506383282903682,0.5054776481877231,0.0645460465438455,1.2622835795084635,2.1388120651245117,0.55,0.24722222222222223,1.7005478223164876,2.1388120651245117,0.39861111111111114,0.24722222222222223
task_arithmetic_best_lambda,0.11249999658330205,0.11249999690493541,8.811491385225853e-07,1.2954874674479167,1.6497144063313802,0.5513888888888889,0.38055555555555554,1.4726009368896484,1.6497144063313802,0.46597222222222223,0.38055555555555554
ties_density_0.5,0.7052701926238578,0.8201373212489289,0.4511084547331678,2.4245870802137586,2.4225950170446326,0.03194444444444444,0.24074074074074073,2.423591048629196,2.4245870802137586,0.13634259259259257,0.03194444444444444
dare_drop_0.5,0.49828752411502414,0.5008216336704724,0.7065673480385741,1.293876478407118,2.123639784918891,0.5388888888888889,0.2611111111111111,1.7087581316630045,2.123639784918891,0.4,0.2611111111111111
validation_grid_best,0.1250000004852555,0.2750000059979837,6.362468893832828e-07,1.556093004014757,1.530869053028248,0.43333333333333335,0.42592592592592593,1.5434810285215024,1.556093004014757,0.42962962962962964,0.42592592592592593
