method,alpha,beta,plane_residual,task_a_loss,task_b_loss,task_a_acc,task_b_acc,avg_loss,worst_loss,avg_acc,worst_acc,kind,lambda,density,drop_rate,mean_scale,nonzero_layers,regmean_ridge,regmean_layers
base,0.0,0.0,0.0,0.20695012940300836,0.36019074122111,0.9611111111111111,0.9166666666666666,0.28357043531205917,0.36019074122111,0.9388888888888889,0.9166666666666666,reference,,,,,,,
expert_a_low_digits,1.0,0.0,0.0,0.1304707792070177,6.30276133219401,0.9833333333333333,0.0,3.216616055700514,6.30276133219401,0.49166666666666664,0.0,reference,,,,,,,
expert_b_high_digits,0.0,1.0,0.0,6.702698092990452,0.11556322309705946,0.0,0.9777777777777777,3.4091306580437557,6.702698092990452,0.4888888888888889,0.0,reference,,,,,,,
linear_average,0.49999999685507285,0.4999999989780267,1.65608249506414e-07,0.16777181095547147,0.26328309377034503,0.9444444444444444,0.9222222222222223,0.21552745236290827,0.26328309377034503,0.9333333333333333,0.9222222222222223,merge,,,,,,,
task_arithmetic_best_lambda,0.40000001022347914,0.40000001008628233,1.7350433445961038e-07,0.14880814552307128,0.2496474372016059,0.9611111111111111,0.9166666666666666,0.1992277913623386,0.2496474372016059,0.9388888888888889,0.9166666666666666,merge,0.4,,,,,,
slerp_experts,0.5135627324229283,0.5134008131898692,0.06346008853524038,0.167821560965644,0.26431008444892035,0.9444444444444444,0.9222222222222223,0.21606582270728217,0.26431008444892035,0.9333333333333333,0.9222222222222223,merge,,,,,,,
ties_density_0.5,0.6007127417124303,0.719016614619175,0.47559396168065593,0.5393480088975694,0.32005109786987307,0.8166666666666667,0.9222222222222223,0.42969955338372123,0.5393480088975694,0.8694444444444445,0.8166666666666667,merge,,0.5,,,,,
dare_drop_0.5,0.5124584653834521,0.5253745627367057,0.667516251372345,0.24362577332390678,0.2940108299255371,0.9111111111111111,0.9222222222222223,0.268818301624722,0.2940108299255371,0.9166666666666667,0.9111111111111111,merge,,,0.5,,,,
ties_dare_0.5,0.7862983418536106,0.8606187363849575,0.7122755105601724,2.070790523952908,0.6062604798210992,0.5333333333333333,0.8388888888888889,1.3385255018870035,2.070790523952908,0.6861111111111111,0.5333333333333333,merge,,0.5,0.5,,,,
fisher_weighted,0.49999999707281473,0.4999999980627153,1.6573385748968068e-07,0.16777182155185275,0.26328310436672636,0.9444444444444444,0.9222222222222223,0.21552746295928954,0.26328310436672636,0.9333333333333333,0.9222222222222223,merge,,,,,,,
layerwise_task_arithmetic,0.3612832733104646,0.316664232572362,0.6377070131001812,0.14763367440965441,0.26615016725328233,0.95,0.9277777777777778,0.20689192083146837,0.26615016725328233,0.9388888888888889,0.9277777777777778,merge,,,,0.33999999999999997,5.0,,
regmean_linear,0.6758622865449718,0.6494589133817744,0.874683200665225,0.19331757227579752,0.3132208824157715,0.9611111111111111,0.9388888888888889,0.2532692273457845,0.3132208824157715,0.95,0.9388888888888889,merge,,,,,,0.0001,3.0
validation_grid_best,0.42499999999999993,0.42499999999999993,2.374375232298202e-07,0.15204855071173773,0.25170421600341797,0.9611111111111111,0.9166666666666666,0.20187638335757785,0.25170421600341797,0.9388888888888889,0.9166666666666666,oracle,,,,,,,
