comparison,score,candidate_model,reference_model,candidate_value,reference_value,diff,diff_lower_conservative,diff_upper_conservative,status,confidence_rule
routercal_vs_naive,mmlu,merge_instruct+coder_routercal,merge_instruct+coder,0.7583333333333333,0.7583333333333333,0.0,-0.15164580854883014,0.15164580854883014,tie_with_uncertainty,conservative_independent_interval_difference
routercal_vs_pair_source_frontier,mmlu,merge_instruct+coder_routercal,instruct,0.7583333333333333,0.8416666666666667,-0.08333333333333337,-0.22173418088710728,0.06023755939642872,directional_negative_not_confident,conservative_independent_interval_difference
routercal_vs_all_source_frontier,mmlu,merge_instruct+coder_routercal,instruct,0.7583333333333333,0.8416666666666667,-0.08333333333333337,-0.22173418088710728,0.06023755939642872,directional_negative_not_confident,conservative_independent_interval_difference
routercal_vs_naive,gsm8k,merge_instruct+coder_routercal,merge_instruct+coder,0.85,0.825,0.025000000000000022,-0.2032732304213697,0.2488920034588501,directional_positive_not_confident,conservative_independent_interval_difference
routercal_vs_pair_source_frontier,gsm8k,merge_instruct+coder_routercal,instruct,0.85,0.9,-0.050000000000000044,-0.2511473727946255,0.15990982671966447,directional_negative_not_confident,conservative_independent_interval_difference
routercal_vs_all_source_frontier,gsm8k,merge_instruct+coder_routercal,instruct,0.85,0.9,-0.050000000000000044,-0.2511473727946255,0.15990982671966447,directional_negative_not_confident,conservative_independent_interval_difference
routercal_vs_naive,humaneval,merge_instruct+coder_routercal,merge_instruct+coder,0.875,0.8,0.07499999999999996,-0.15612555697071273,0.29298187608315396,directional_positive_not_confident,conservative_independent_interval_difference
routercal_vs_pair_source_frontier,humaneval,merge_instruct+coder_routercal,instruct,0.875,0.95,-0.07499999999999996,-0.24730382955628027,0.11044751044383927,directional_negative_not_confident,conservative_independent_interval_difference
routercal_vs_all_source_frontier,humaneval,merge_instruct+coder_routercal,instruct,0.875,0.95,-0.07499999999999996,-0.24730382955628027,0.11044751044383927,directional_negative_not_confident,conservative_independent_interval_difference
routercal_vs_naive,avg,merge_instruct+coder_routercal,merge_instruct+coder,0.8277777777777778,0.7944444444444444,0.03333333333333344,-0.17034819864697093,0.2311732293636113,directional_positive_not_confident,conservative_independent_interval_difference
routercal_vs_pair_source_frontier,avg,merge_instruct+coder_routercal,instruct,0.8277777777777778,0.8972222222222221,-0.06944444444444431,-0.24006179441267106,0.11019829885331078,directional_negative_not_confident,conservative_independent_interval_difference
routercal_vs_all_source_frontier,avg,merge_instruct+coder_routercal,instruct,0.8277777777777778,0.8972222222222221,-0.06944444444444431,-0.24006179441267106,0.11019829885331078,directional_negative_not_confident,conservative_independent_interval_difference
routercal_vs_naive,worst,merge_instruct+coder_routercal,merge_instruct+coder,0.7583333333333333,0.7583333333333333,0.0,-0.15164580854883014,0.17371874140353327,tie_with_uncertainty,conservative_independent_interval_difference
routercal_vs_pair_source_frontier,worst,merge_instruct+coder_routercal,instruct,0.7583333333333333,0.8416666666666667,-0.08333333333333337,-0.22173418088710728,0.06023755939642872,directional_negative_not_confident,conservative_independent_interval_difference
routercal_vs_all_source_frontier,worst,merge_instruct+coder_routercal,instruct,0.7583333333333333,0.8416666666666667,-0.08333333333333337,-0.22173418088710728,0.06023755939642872,directional_negative_not_confident,conservative_independent_interval_difference
