short_name,year,category,title,url,use_in_this_repo
Fisher merging,2021,dense_importance_weighting,Merging Models with Fisher-Weighted Averaging,https://arxiv.org/abs/2111.09832,Use diagonal Fisher or NLL sensitivity to downweight parameters whose source model strongly relies on them.
Model soups,2022,dense_weight_average,Model soups: averaging weights of multiple fine-tuned models improves accuracy without increasing inference time,https://arxiv.org/abs/2203.05482,"Treat uniform and greedy soups as low-barrier baselines, not as proof that arbitrary domain experts can be averaged."
Task arithmetic,2022,task_vector,Editing Models with Task Arithmetic,https://arxiv.org/abs/2212.04089,Represent Qwen branches as same-anchor deltas and search coefficients on task-vector planes.
Git Re-Basin,2022,connectivity_alignment,Git Re-Basin: Merging Models modulo Permutation Symmetries,https://arxiv.org/abs/2209.04836,Use barrier and alignment probes before trusting direct weight averages across differently trained checkpoints.
ZipIt,2023,feature_alignment,ZipIt! Merging Models from Different Tasks without Training,https://arxiv.org/abs/2305.03053,Keep feature/permutation alignment as an escalation path when same-base assumptions fail.
TIES,2023,dense_conflict_resolution,TIES-Merging: Resolving Interference When Merging Models,https://arxiv.org/abs/2306.01708,Map sign disagreement and small-delta redundancy into coordinate-level tensor rules.
AdaMerging,2023,coefficient_learning,AdaMerging: Adaptive Model Merging for Multi-Task Learning,https://arxiv.org/abs/2310.02575,Learn task-wise or layer-wise coefficients with unlabeled calibration data when grid search is too coarse.
DARE,2023,delta_sparsification,Language Models are Super Mario: Absorbing Abilities from Homologous Models as a Free Lunch,https://arxiv.org/abs/2311.03099,Only consider random drop/rescale when delta magnitude probes show high redundancy.
DELLA,2024,delta_sparsification,DELLA-Merging: Reducing Interference in Model Merging through Magnitude-Based Sampling,https://arxiv.org/abs/2406.11617,Prefer magnitude-aware retention curves over blind DARE when important deltas are concentrated.
Model merging survey,2024,survey,"Model Merging in LLMs, MLLMs, and Beyond: Methods, Theories, Applications and Opportunities",https://arxiv.org/abs/2408.07666,"Use as taxonomy coverage: averaging, task arithmetic, data-informed merging, alignment, and applications."
DAM,2024,coefficient_learning,Merging in a Bottle: Differentiable Adaptive Merging and the Path from Averaging to Automation,https://arxiv.org/abs/2410.08371,Frame coefficient tuning as differentiable optimization when held-out NLL is available.
WEMoE,2024,dynamic_moe_upper_bound,Efficient and Effective Weight-Ensembling Mixture of Experts for Multi-Task Model Merging,https://arxiv.org/abs/2410.21804,"Use dynamic expert selection as an upper bound, then compress back to same-shape average when required."
MergeME,2025,moe_model_merging,MergeME: Model Merging Techniques for Homogeneous and Heterogeneous MoEs,https://arxiv.org/abs/2502.00997,Treat parameter interference and routing heuristics as first-class MoE merge problems.
STAR,2025,spectral_delta_sparsification,STAR: Spectral Truncation and Rescale for Model Merging,https://arxiv.org/abs/2502.10339,Probe singular spectra before deciding whether small spectral components should be dropped or rescaled.
Qwen3,2025,target_model_family,Qwen3 Technical Report,https://arxiv.org/abs/2505.09388,Use Qwen dense and MoE model family as the main experimental target for same-shape averaging.
Sub-MoE,2025,moe_expert_compression,Sub-MoE: Efficient Mixture-of-Expert LLMs Compression via Subspace Expert Merging,https://arxiv.org/abs/2506.23266,"Use expert output similarity, clustering, and route frequency as evidence before merging experts."
FroM,2025,data_free_adaptive_merging,FroM: Frobenius Norm-Based Data-Free Adaptive Model Merging,https://arxiv.org/abs/2506.02478,Use parameter norms as a data-free fallback when activation or Fisher probes are unavailable.
RegMean++,2025,activation_regression,RegMean++: Enhancing Effectiveness and Generalization of Regression Mean for Model Merging,https://arxiv.org/abs/2508.03121,Use activation covariance and cross-layer dependency probes for off-plane linear-layer merges.
Merge scaling laws,2025,scaling_laws,Model Merging Scaling Laws in Large Language Models,https://arxiv.org/abs/2509.24244,Estimate diminishing returns from adding more experts before paying for large merge sweeps.
MergeMoE,2025,moe_expert_compression,MergeMoE: Efficient Compression of MoE Models via Expert Output Merging,https://arxiv.org/abs/2510.14436,Prefer output-space expert matching over raw parameter averaging for routed experts.
Output-space projection,2026,output_space_calibration,Model Merging by Output-Space Projection,https://arxiv.org/abs/2605.29101,Use calibration outputs to formulate merge selection as a quadratic residual objective; treat output residual energy as a predictive probe for merge quality.
HARC,2026,moe_router_calibration,When Model Merging Breaks Routing: Training-Free Calibration for MoE,https://arxiv.org/abs/2606.03391,Gate MoE averages on routing breakdown metrics and calibrate routers before accepting a merge.
